sample_id,psnr,ssim,lpips
10140071_48664_65296,33.75251810921037,0.9221007227897644,0.07628259807825089
10140071_48972_37576,33.45028134916553,0.9041511416435242,0.09542683511972427
10140071_49280_16016,31.935229740906976,0.8621619343757629,0.11055748164653778
10140071_49280_27412,29.019287311810047,0.8090362548828125,0.1198958307504654
10140071_49280_88396,33.95158200875902,0.9054942727088928,0.07877203822135925
10140071_4928_35112,33.50332125098862,0.9106660485267639,0.0577121302485466
10140071_4928_51744,34.00000559583433,0.9081559181213379,0.06649473309516907
10140071_49588_87780,30.29227880622574,0.8755384087562561,0.09499382227659225
10140071_49896_35420,35.80893929647518,0.8991861939430237,0.09364446252584457
10140071_52052_12628,34.40540665232041,0.8976640105247498,0.10607322305440903
10140071_52052_77924,34.13204545457564,0.9071375727653503,0.08920936286449432
10140071_52052_79464,34.33868543317706,0.9113138318061829,0.07918475568294525
10140071_52052_90244,34.100281692954844,0.9009260535240173,0.0687267854809761
10140071_52360_43428,32.25544355878601,0.8729982376098633,0.11224383860826492
10140071_5236_51436,34.34978819754995,0.917726993560791,0.05929262936115265
10140071_5236_75460,37.52414625951998,0.9455733299255371,0.03904558718204498
10140071_52668_51436,28.906931676785533,0.8356860280036926,0.11771060526371002
10140071_52668_77616,33.25922109617903,0.8876052498817444,0.11627912521362305
10140071_52668_79156,36.527148818947495,0.9192667603492737,0.07506919652223587
10140071_52976_11088,33.72524299717665,0.8942272067070007,0.11413143575191498
10140071_52976_23100,35.47809750321948,0.9274155497550964,0.07647295296192169
10140071_53592_50512,34.07600043773467,0.8982188701629639,0.10416287183761597
10140071_53900_40348,35.64428573370067,0.9005497097969055,0.08531185984611511
10140071_53900_41272,32.555351090045164,0.8757336735725403,0.09441084414720535
10140071_54208_23408,35.41918717717219,0.9162399172782898,0.09413111209869385
10140071_54208_36344,34.790674130189586,0.8878113627433777,0.1352851390838623
10140071_54516_15092,31.663113196857466,0.8553504943847656,0.11262652277946472
10140071_55132_36344,30.414815812224067,0.8508272767066956,0.11362001299858093
10140071_55440_27412,34.44481318171705,0.894144594669342,0.08948489278554916
10140071_55748_34188,33.70352557531545,0.8910471796989441,0.07381881773471832
10140071_56672_58212,35.17438454427757,0.9264336228370667,0.06793507933616638
10140071_56672_76384,34.30028658043511,0.8778994083404541,0.14369598031044006
